x,y,z
239,338,a
239,338,a
239,339,a
239,339,a
240,340,a
240,341,a
241,342,a
241,342,a
242,343,a
242,344,a
242,344,a
242,345,a
243,346,a
244,346,a
244,347,a
244,347,a
245,348,a
245,348,a
246,349,a
246,349,a
246,350,a
247,350,a
247,351,a
247,351,a
248,352,a
248,352,a
249,353,a
250,354,a
251,356,a
253,357,a
254,358,a
254,358,a
255,359,a
255,359,a
256,360,a
257,360,a
257,360,a
258,361,a
258,361,a
259,362,a
260,363,a
261,363,a
261,363,a
262,364,a
263,364,a
264,364,a
265,365,a
265,365,a
266,365,a
267,365,a
268,366,a
269,366,a
269,367,a
269,367,a
270,367,a
270,367,a
271,367,a
272,368,a
273,368,a
273,368,a
275,368,a
275,369,a
276,369,a
276,369,a
277,369,a
279,370,a
280,370,a
280,371,a
281,371,a
282,371,a
283,371,a
284,372,a
286,372,a
287,373,a
288,373,a
289,373,a
290,373,a
290,373,a
291,374,a
292,374,a
292,374,a
293,374,a
295,375,a
295,375,a
296,375,a
296,375,a
297,375,a
298,375,a
299,375,a
299,375,a
300,376,a
301,376,a
302,376,a
302,376,a
303,377,a
303,377,a
304,377,a
305,377,a
306,377,a
311,378,a
311,378,a
319,380,a
320,380,a
325,381,a
327,381,a
329,381,a
330,381,a
333,381,a
333,381,a
336,381,a
336,381,a
338,382,a
338,382,a
339,382,a
339,382,a
340,382,a
341,382,a
341,382,a
342,382,a
343,382,a
343,382,a
344,382,a
344,382,a
347,382,a
351,382,a
353,382,a
357,382,a
359,382,a
363,382,a
369,381,a
369,381,a
372,380,a
373,380,a
374,380,a
375,380,a
377,379,a
379,379,a
379,379,a
382,379,a
382,379,a
385,379,a
385,379,a
386,379,a
388,379,a
389,379,a
389,379,a
390,378,a
391,378,a
393,378,a
394,378,a
396,378,a
397,378,a
399,377,a
401,377,a
402,377,a
404,377,a
408,376,a
408,376,a
411,376,a
412,376,a
417,376,a
418,376,a
423,374,a
427,373,a
428,373,a
429,373,a
429,373,a
430,373,a
432,373,a
433,372,a
434,372,a
434,372,a
435,372,a
436,372,a
436,371,a
437,371,a
439,371,a
441,370,a
441,370,a
442,370,a
443,370,a
444,369,a
444,369,a
445,369,a
445,369,a
447,368,a
447,368,a
448,368,a
448,367,a
